movie_id,imdb_id,tmdb_id,rating,average_rating,title
318,111161.0,278,4.0,4.4155,The Shawshank Redemption (1994)
356,109830.0,13,2.5,4.06936,Forrest Gump (1994)
527,108052.0,424,3.5,4.2382,Schindler's List (1993)
593,102926.0,274,4.0,4.14945,The Silence of the Lambs (1991)
1196,80684.0,1891,4.0,4.11597,The Empire Strikes Back (1980)
1197,93779.0,2493,3.5,4.10845,The Princess Bride (1987)
1704,119217.0,489,4.0,4.11101,Good Will Hunting (1997)
2571,133093.0,603,4.0,4.16137,The Matrix (1999)
79091,1323594.0,20352,4.0,3.64956,Despicable Me (2010)
85414,945513.0,45612,2.0,3.75423,Source Code (2011)
86332,800369.0,10195,4.0,3.3019,Thor (2011)
88129,780504.0,64690,2.0,3.85358,Drive (2011)
88140,458339.0,1771,3.5,3.46702,Captain America: The First Avenger (2011)
96610,1276104.0,59967,4.0,3.64881,Looper (2012)
97921,1045658.0,82693,1.5,3.69805,Silver Linings Playbook (2012)
106487,1951264.0,101299,1.5,3.50472,The Hunger Games: Catching Fire (2013)
273105,11803064.0,950925,3.0,1.0,Hunting Souls (2024)
298947,12037194.0,786892,4.0,3.63445,Furiosa: A Mad Max Saga (2024)
300201,22022452.0,1022789,5.0,3.62535,Inside Out 2 (2024)
304061,8999762.0,549509,2.5,3.28571,The Brutalist (2024)
307297,32481874.0,1377267,1.0,3.16667,A Carpenter Christmas Romance (2024)
307299,29137778.0,1217690,4.0,3.0,Homestead (2024)
307347,18259086.0,939243,3.5,3.0625,Sonic the Hedgehog 3 (2024)
307369,27611340.0,1399790,2.5,3.0,Bachhala Malli (2024)
307445,23875550.0,984500,3.5,3.0,UI (2024)
318,111161.0,278,4.0,4.4155,The Shawshank Redemption (1994)
356,109830.0,13,2.5,4.06936,Forrest Gump (1994)
527,108052.0,424,3.5,4.2382,Schindler's List (1993)
593,102926.0,274,4.0,4.14945,The Silence of the Lambs (1991)
1196,80684.0,1891,4.0,4.11597,The Empire Strikes Back (1980)
1197,93779.0,2493,3.5,4.10845,The Princess Bride (1987)
1704,119217.0,489,4.0,4.11101,Good Will Hunting (1997)
2571,133093.0,603,4.0,4.16137,The Matrix (1999)
